date,population,admission,release
2020-05-29,77243.5401533359,1623.260647525119,1660.0861149397724
2020-05-30,77211.69087639744,1628.570171334643,867.7694482731055
2020-05-31,77664.14159945898,1320.220171334643,931.3170673207245
2020-06-01,77966.85422728243,1233.3630284775,1983.264435741777
2020-06-02,77454.61948668481,1470.1408062552778,1629.7303448326861
2020-06-03,77320.6827258852,1503.1333567603283,1882.8717409365822
2020-06-04,77207.0375235271,1711.398499153057,1500.2225797529384
2020-06-05,77212.24659530607,1506.8165000167473,1718.9217139520724
2020-06-06,77360.99852422788,1867.840309540557,836.5266090569678
2020-06-07,77845.40080280007,1320.928887629135,991.9789900093486
2020-06-08,80230.2911766103,1223.4419491146155,2167.173405175503
2020-06-09,80021.78911153901,1876.227232455532,2492.9151935831733
2020-06-10,80811.455400989,2386.049893490502,2070.1746720944843
2020-06-11,80777.04762646224,2037.0233078241479,2147.4016705861886
2020-06-12,80723.13887154336,2101.3399744908147,1785.4126412554483
2020-06-13,80719.25835353904,1778.400810119832,842.610621053428
2020-06-14,81333.01318907009,1457.2654565844784,819.5661766089835
2020-06-15,81917.87913571227,1278.5706513896732,2023.6895532323601
2020-06-16,81667.2645628739,1769.741647060669,1894.6062198990269
2020-06-17,81738.41110114664,1820.6500433704798,1871.3562198990269
2020-06-18,81659.0576394194,1792.00275817178,1871.209782700959
2020-06-19,81675.66069943129,1887.3128427128427,1969.5431160342926
2020-06-20,81648.59709277652,1941.9795093795094,862.9067523979289
2020-06-21,82173.60166793989,1387.9113275613274,746.9067523979288
2020-06-22,82745.6062431033,1318.9113275613274,2225.1289746201514
2020-06-23,82379.52748493335,1860.466883116883,1919.379371445548
2020-06-24,82363.5519013666,1911.228787878788,3222.704371445547
2020-06-25,82215.07631779985,3073.3398989898988,2070.6240173427223
2020-06-26,82153.7509441979,2010.7986437407785,1780.7512863348743
2020-06-27,82263.32496149123,1892.2965442297061,913.7225269363782
2020-06-28,82754.73231211788,1403.7965442297061,816.6703383841896
2020-06-29,83214.49572335061,1276.433749616911,2114.9538979618665
2020-06-30,82905.53892342193,1808.7716078371222,1896.7284077657885
2020-07-01,82891.24879015995,1882.438274503789,2150.293365030745
2020-07-02,82568.9484004877,1828.2493856149001,2009.9891692265498
2020-07-03,82389.05710172452,1830.097870463385,1029.822502559883
2020-07-04,82877.9991362947,1518.7645371300516,775.8225025598832
2020-07-05,83612.31617086487,1510.1395371300516,790.3225025598832
2020-07-06,84234.63320543505,1412.6395371300516,2360.918462155843
2020-07-07,83809.0714521264,1935.3567088472234,2068.5984621558428
2020-07-08,83836.9296988178,2097.9367088472236,2322.0427478701286
2020-07-09,84872.25223122345,3356.365280275795,2106.098303425684
2020-07-10,84794.18587474024,2028.0319469424617,1761.4114347388156
2020-07-11,84932.09931623681,1899.733967144482,813.2205256479064
2020-07-12,85577.41275773337,1458.533967144482,783.2205256479064
2020-07-13,86136.72619922996,1341.5839671444817,2323.7811317085125
2020-07-14,85679.96388315078,1867.0188156293304,2001.5542086315893
2020-07-15,85755.57849014852,2078.1588156293305,2084.9330975204784
2020-07-16,85771.37730767258,2099.7907385739463,2027.751584915436
2020-07-17,85715.52234368403,1971.3966209268879,2010.251584915436
2020-07-18,85666.66737969549,1961.8966209268879,812.1960293598808
2020-07-19,86354.70130459583,1499.7299542602213,814.5154738043252
2020-07-20,86900.63800727396,1360.4521764824433,2726.7804507628507
2020-07-21,86510.80051640367,2340.1004099693864,1433.6879008396554
2020-07-22,86546.9471164425,1469.305929449906,1990.5640913158459
2020-07-23,86562.61752600512,2004.2951069390833,2336.8790263807814
2020-07-24,86486.00546803529,2261.7669684109446,1656.3790263807807
2020-07-25,86607.61563228769,1776.9336350776118,885.0350092867637
2020-07-26,87249.2450273093,1527.4144043083809,873.3059883077427
2020-07-27,87588.32896778545,1320.6416770356534,2471.231978983734
